"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Создание заказа с ингредиентами и без авторизации","1767","Creating an order with out authorization","","Tue Nov 25 02:25:31 MSK 2025","passed","Tue Nov 25 02:25:33 MSK 2025","","OrderCreateTest","OrderCreateTest","orderNoLoginWitnIngredientTest"
"Вход с отсутствующим или несуществующим логином или паролем","1055","User login with a missing username or password","","Tue Nov 25 02:25:37 MSK 2025","passed","Tue Nov 25 02:25:38 MSK 2025","","UserInputNegativeTest","UserInputNegativeTest","checkFieldTest[Данные для теста: email=ewwvprdw@test.ru, password=, name=Whitney]"
"Создание заказа с ингредиентами с авторизацией","1188","Creating an order with authorization","","Tue Nov 25 02:25:29 MSK 2025","passed","Tue Nov 25 02:25:30 MSK 2025","","OrderCreateTest","OrderCreateTest","orderWithIngredientsAndLogin"
"Вход с отсутствующим или несуществующим логином или паролем","1125","User login with a missing username or password","","Tue Nov 25 02:25:36 MSK 2025","passed","Tue Nov 25 02:25:37 MSK 2025","","UserInputNegativeTest","UserInputNegativeTest","checkFieldTest[Данные для теста: email=, password=8072, name=Whitney]"
"Проверка API создание пользователя при незаполненых полях","131","Checking User fields","","Tue Nov 25 02:25:29 MSK 2025","passed","Tue Nov 25 02:25:29 MSK 2025","","CheckUserFieldTest","CheckUserFieldTest","checkFieldTest[Данные для теста: email=ewwvprdw@test.ru, password=, name=Whitney]"
"Проверка API создание пользователя при незаполненых полях","4975","Checking User fields","","Tue Nov 25 02:25:24 MSK 2025","passed","Tue Nov 25 02:25:29 MSK 2025","","CheckUserFieldTest","CheckUserFieldTest","checkFieldTest[Данные для теста: email=, password=8072, name=Whitney]"
"Проверка API создание пользователя при незаполненых полях","136","Checking User fields","","Tue Nov 25 02:25:29 MSK 2025","passed","Tue Nov 25 02:25:29 MSK 2025","","CheckUserFieldTest","CheckUserFieldTest","checkFieldTest[Данные для теста: email=ewwvprdw@test.ru, password=8072, name=]"
"Пользователя создали и залогинили","1163","Positive user input","","Tue Nov 25 02:25:40 MSK 2025","passed","Tue Nov 25 02:25:41 MSK 2025","","UserInputPositiveTest","UserInputPositiveTest","userInputPositiveTest"
"Создать существующего пользователя","1069","Creating an existing user","","Tue Nov 25 02:25:34 MSK 2025","passed","Tue Nov 25 02:25:35 MSK 2025","","UserCreateTest","UserCreateTest","createExistUserTest"
"Создать пользователя","246","Creating user","","Tue Nov 25 02:25:35 MSK 2025","passed","Tue Nov 25 02:25:36 MSK 2025","","UserCreateTest","UserCreateTest","createUserTest"
"Вход с отсутствующим или несуществующим логином или паролем","1154","User login with a missing username or password","","Tue Nov 25 02:25:39 MSK 2025","passed","Tue Nov 25 02:25:40 MSK 2025","","UserInputNegativeTest","UserInputNegativeTest","checkFieldTest[Данные для теста: email=ewwvprdw@test.ru, password=yuyyu, name=Whitney]"
"Вход с отсутствующим или несуществующим логином или паролем","1082","User login with a missing username or password","","Tue Nov 25 02:25:38 MSK 2025","passed","Tue Nov 25 02:25:39 MSK 2025","","UserInputNegativeTest","UserInputNegativeTest","checkFieldTest[Данные для теста: email=testSergt@tesst.ru, password=8072, name=Whitney]"
"Проверка с отсутствующим ингредиентом","1109","Order with missing ingredients","","Tue Nov 25 02:25:30 MSK 2025","passed","Tue Nov 25 02:25:31 MSK 2025","","OrderCreateTest","OrderCreateTest","orderNoIngredientTest"
"Проверка с неверным хешем ингредиентов","1250","Order incorrect hash","","Tue Nov 25 02:25:33 MSK 2025","passed","Tue Nov 25 02:25:34 MSK 2025","","OrderCreateTest","OrderCreateTest","orderCreateNoLoginPositiveTest"
